0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
100.0,4.38,10.37,0.0,8.91,0.0,24.87,5.49,8.32,9.23,12.96,11.3,3.45,7.15,3.3,24.53,6.27,11.22,2.47,14.64,26.03,24.31,3.83,3.3
4.38,100.0,0.0,0.0,4.89,0.0,0.0,0.0,4.65,0.0,4.09,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,4.52,3.54,7.78,0.0,0.0
10.37,0.0,100.0,0.0,15.37,0.0,6.9,5.45,12.7,9.01,12.64,11.03,0.0,3.37,6.66,18.33,9.76,16.13,2.41,11.11,8.49,11.42,7.8,10.34
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.3,9.23,3.58,0.0,0.0,0.0,5.12,8.53,4.72,8.44,7.96,4.05,0.0,6.8,0.0,0.0
8.91,4.89,15.37,0.0,100.0,0.0,16.5,0.0,7.96,18.05,17.8,12.3,0.0,0.0,7.7,23.66,7.11,23.41,5.77,22.18,21.01,16.2,14.07,7.7
0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,8.52,0.0,0.0,0.0,7.36,0.0,0.0,3.7,6.49,4.3,0.0,0.0,0.0,0.0,8.18,0.0
24.87,0.0,6.9,0.0,16.5,0.0,100.0,0.0,3.7,17.08,13.63,15.06,0.0,0.0,9.43,23.45,8.7,11.82,7.06,15.17,27.44,21.19,10.96,9.43
5.49,0.0,5.45,0.0,0.0,0.0,0.0,100.0,5.92,0.0,5.12,0.0,3.73,8.06,7.46,5.87,14.59,13.58,0.0,4.24,4.41,4.82,0.0,7.46
8.32,4.65,12.7,6.3,7.96,8.52,3.7,5.92,100.0,8.26,20.87,2.76,5.58,5.64,9.45,22.14,14.77,26.99,1.3,20.93,9.48,18.91,13.42,11.46
9.23,0.0,9.01,9.23,18.05,0.0,17.08,0.0,8.26,100.0,14.83,20.61,0.0,0.0,17.29,21.3,11.45,24.11,16.51,16.74,15.45,20.22,9.27,7.97
12.96,4.09,12.64,3.58,17.8,0.0,13.63,5.12,20.87,14.83,100.0,10.16,3.22,10.84,6.36,34.23,5.87,33.68,4.76,32.35,19.69,24.96,11.56,13.61
11.3,0.0,11.03,0.0,12.3,0.0,15.06,0.0,2.76,20.61,10.16,100.0,0.0,0.0,7.03,11.67,14.01,8.82,5.27,11.31,13.63,9.35,8.18,7.03
3.45,0.0,0.0,0.0,0.0,7.36,0.0,3.73,5.58,0.0,3.22,0.0,100.0,10.4,0.0,2.42,4.25,4.34,0.0,0.0,2.78,0.0,5.36,4.6
7.15,6.12,3.37,0.0,0.0,0.0,0.0,8.06,5.64,0.0,10.84,0.0,10.4,100.0,0.0,2.42,0.0,3.02,0.0,3.56,9.34,6.12,0.0,0.0
3.3,0.0,6.66,5.12,7.7,0.0,9.43,7.46,9.45,17.29,6.36,7.03,0.0,0.0,100.0,16.71,13.48,13.47,10.63,9.08,11.73,9.06,5.12,9.19
24.53,0.0,18.33,8.53,23.66,3.7,23.45,5.87,22.14,21.3,34.23,11.67,2.42,2.42,16.71,100.0,9.22,37.56,9.66,34.45,19.81,26.66,19.08,10.02
6.27,0.0,9.76,4.72,7.11,6.49,8.7,14.59,14.77,11.45,5.87,14.01,4.25,0.0,13.48,9.22,100.0,22.64,3.04,10.25,7.87,15.23,9.92,18.79
11.22,0.0,16.13,8.44,23.41,4.3,11.82,13.58,26.99,24.11,33.68,8.82,4.34,3.02,13.47,37.56,22.64,100.0,10.13,29.18,20.54,25.22,18.2,13.47
2.47,0.0,2.41,7.96,5.77,0.0,7.06,0.0,1.3,16.51,4.76,5.27,0.0,0.0,10.63,9.66,3.04,10.13,100.0,8.4,6.39,4.38,3.83,3.3
14.64,4.52,11.11,4.05,22.18,0.0,15.17,4.24,20.93,16.74,32.35,11.31,0.0,3.56,9.08,34.45,10.25,29.18,8.4,100.0,19.52,25.17,8.23,9.08
26.03,3.54,8.49,0.0,21.01,0.0,27.44,4.41,9.48,15.45,19.69,13.63,2.78,9.34,11.73,19.81,7.87,20.54,6.39,19.52,100.0,20.64,22.12,11.73
24.31,7.78,11.42,6.8,16.2,0.0,21.19,4.82,18.91,20.22,24.96,9.35,0.0,6.12,9.06,26.66,15.23,25.22,4.38,25.17,20.64,100.0,6.8,12.48
3.83,0.0,7.8,0.0,14.07,8.18,10.96,0.0,13.42,9.27,11.56,8.18,5.36,0.0,5.12,19.08,9.92,18.2,3.83,8.23,22.12,6.8,100.0,10.78
3.3,0.0,10.34,0.0,7.7,0.0,9.43,7.46,11.46,7.97,13.61,7.03,4.6,0.0,9.19,10.02,18.79,13.47,3.3,9.08,11.73,12.48,10.78,100.0
